track_id,start_frame,end_frame,vehicle_type,vehicle_colour,track_history
8,,108,Car,darkslategray,"[[852, 746]]"
4,92,124,Car,darkslategray,"[[1374, 858], [1390, 860], [1406, 864], [1406, 864], [1415, 866], [1415, 866], [1423, 867], [1424, 868], [1432, 869], [1432, 870], [1441, 872], [1441, 872], [1450, 873], [1450, 873], [1458, 875], [1458, 875], [1467, 877], [1467, 877], [1476, 879], [1476, 879], [1484, 881], [1485, 881], [1493, 883], [1493, 883], [1502, 885], [1502, 885], [1510, 887], [1511, 887], [1519, 889], [1519, 889], [1528, 890], [1528, 891], [1537, 892], [1537, 893], [1545, 894], [1545, 894], [1554, 896], [1554, 896], [1563, 898], [1563, 898], [1571, 900], [1572, 900], [1580, 902], [1580, 902], [1588, 904], [1589, 904], [1598, 905], [1598, 906], [1606, 907], [1606, 908], [1615, 910], [1615, 910], [1624, 911], [1624, 912], [1632, 913], [1632, 913], [1641, 915], [1641, 915], [1649, 917], [1650, 917], [1658, 919], [1659, 919], [1667, 921], [1667, 921]]"
6,98,130,Car,darkslategray,"[[378, 743], [284, 744], [200, 733], [200, 733], [156, 729], [155, 729], [111, 725], [111, 725], [67, 722], [67, 722], [23, 717], [23, 718], [-22, 714], [-21, 714], [-66, 710], [-65, 710], [-110, 706], [-109, 707], [-154, 703], [-154, 703], [-198, 699], [-198, 699], [-242, 695], [-242, 696], [-287, 692], [-287, 692], [-331, 688], [-331, 688], [-375, 684], [-375, 684], [-420, 680], [-420, 681], [-464, 677], [-464, 677], [-509, 673], [-508, 673], [-553, 669], [-553, 669], [-597, 666], [-597, 666], [-641, 661], [-641, 662], [-686, 658], [-685, 658], [-730, 654], [-730, 654], [-774, 650], [-774, 651], [-818, 647], [-818, 647], [-863, 643], [-863, 643], [-907, 639], [-907, 639], [-951, 635], [-951, 636], [-996, 631], [-996, 632], [-1040, 628], [-1040, 628], [-1085, 624], [-1084, 624], [-1129, 620], [-1129, 621]]"
7,98,136,Car,darkslategray,"[[1032, 648], [1026, 652], [1019, 660], [1019, 661], [997, 676], [997, 676], [980, 687], [981, 687], [964, 696], [965, 697], [951, 703], [952, 704], [932, 716], [932, 716], [911, 726], [911, 726], [897, 735], [897, 735], [884, 744], [884, 744], [869, 753], [870, 753], [856, 762], [856, 762], [842, 771], [842, 772], [828, 780], [828, 781], [814, 789], [814, 790], [800, 798], [801, 799], [786, 808], [787, 808], [773, 817], [773, 817], [759, 826], [759, 826], [745, 835], [745, 835], [731, 844], [732, 844], [717, 853], [718, 853], [703, 862], [704, 862], [690, 871], [690, 872], [676, 880], [676, 881], [662, 889], [662, 890], [648, 899], [649, 899], [634, 908], [635, 908], [621, 917], [621, 917], [607, 926], [607, 926], [593, 935], [593, 935], [579, 944], [579, 944], [566, 953], [566, 953], [551, 962], [552, 963], [538, 971], [538, 972], [524, 980], [524, 981], [510, 990], [510, 990], [496, 999], [496, 999]]"
3,92,140,Car,darkslategray,"[[1036, 644], [1032, 646], [1024, 650], [1024, 650], [993, 663], [993, 664], [975, 671], [975, 671], [957, 679], [958, 679], [929, 692], [929, 693], [908, 702], [909, 703], [884, 709], [884, 709], [866, 716], [866, 716], [848, 724], [849, 724], [830, 731], [831, 732], [813, 739], [813, 739], [795, 747], [795, 747], [777, 754], [777, 755], [759, 762], [759, 762], [741, 770], [741, 770], [801, 756], [801, 756], [775, 760], [775, 760], [761, 766], [761, 767], [747, 772], [747, 773], [733, 779], [733, 779], [719, 785], [719, 785], [705, 791], [705, 791], [691, 797], [691, 797], [676, 803], [677, 804], [662, 809], [663, 810], [648, 816], [648, 816], [634, 822], [634, 822], [620, 828], [620, 828], [606, 834], [606, 834], [592, 840], [592, 840], [578, 847], [578, 847], [563, 852], [564, 853], [550, 859], [550, 859], [535, 865], [536, 865], [522, 871], [522, 871], [507, 877], [508, 877], [493, 883], [493, 884], [479, 889], [479, 890], [465, 896], [465, 896], [451, 902], [451, 902], [437, 908], [437, 908], [423, 914], [423, 914], [409, 920], [409, 920], [395, 927], [395, 927], [380, 932], [381, 933], [366, 939], [367, 939], [352, 945], [352, 945]]"
5,94,140,Car,darkslategray,"[[734, 732], [677, 737], [606, 739], [606, 739], [571, 741], [571, 741], [536, 742], [536, 742], [501, 744], [501, 744], [466, 746], [466, 746], [430, 747], [431, 747], [395, 749], [396, 749], [360, 751], [360, 751], [493, 778], [493, 778], [437, 780], [437, 780], [361, 792], [362, 792], [286, 797], [286, 797], [200, 794], [200, 795], [141, 788], [141, 788], [105, 791], [104, 792], [68, 795], [68, 795], [32, 798], [31, 798], [-5, 802], [-4, 802], [-42, 805], [-41, 805], [-78, 809], [-77, 809], [-114, 812], [-114, 812], [-151, 816], [-150, 816], [-187, 819], [-187, 819], [-224, 823], [-223, 823], [-260, 826], [-259, 826], [-296, 830], [-296, 830], [-333, 833], [-332, 833], [-369, 836], [-369, 837], [-406, 840], [-405, 840], [-442, 844], [-442, 844], [-479, 847], [-478, 847], [-515, 851], [-515, 851], [-551, 854], [-551, 854], [-588, 858], [-588, 858], [-624, 861], [-624, 861], [-661, 864], [-661, 865], [-697, 868], [-697, 868], [-734, 872], [-734, 872], [-771, 875], [-770, 875], [-807, 879], [-807, 879], [-844, 882], [-843, 882], [-880, 885], [-880, 886], [-916, 889], [-916, 889], [-953, 892], [-953, 893]]"
9,108,140,Car,darkslategray,"[[1045, 646], [1037, 648], [1030, 652], [1030, 652], [1026, 654], [1026, 654], [1022, 656], [1022, 656], [1018, 658], [1018, 658], [1014, 660], [1014, 660], [1010, 662], [1010, 662], [1006, 664], [1006, 665], [1002, 666], [1002, 667], [998, 669], [998, 669], [994, 670], [994, 671], [990, 673], [990, 673], [986, 675], [986, 675], [982, 677], [982, 677], [978, 679], [978, 679], [974, 681], [974, 681], [970, 683], [970, 683], [966, 685], [966, 685], [962, 687], [962, 687], [958, 689], [958, 689], [954, 691], [954, 691], [950, 693], [950, 694], [946, 695], [946, 696], [942, 697], [942, 698], [938, 700], [938, 700], [934, 701], [934, 702], [930, 704], [930, 704], [926, 705], [926, 706], [922, 708], [922, 708], [918, 710], [918, 710], [914, 712], [914, 712], [910, 714], [910, 714]]"
2,76,142,Car,darkslategray,"[[1037, 639], [1034, 640], [1030, 640], [1031, 641], [1022, 648], [1022, 648], [1016, 652], [1017, 652], [1011, 652], [1011, 652], [1006, 652], [1006, 652], [999, 655], [999, 655], [994, 657], [994, 657], [989, 659], [989, 660], [984, 662], [984, 662], [979, 664], [979, 664], [962, 677], [962, 677], [955, 679], [955, 679], [947, 683], [947, 683], [936, 688], [937, 688], [923, 693], [924, 693], [909, 698], [909, 698], [892, 701], [893, 701], [884, 704], [884, 704], [875, 708], [875, 708], [866, 712], [866, 712], [858, 715], [858, 715], [849, 718], [849, 719], [840, 722], [840, 722], [783, 738], [783, 738], [733, 744], [733, 744], [672, 752], [672, 752], [607, 766], [608, 766], [586, 771], [586, 772], [564, 777], [564, 777], [542, 782], [543, 783], [521, 788], [521, 788], [499, 794], [499, 794], [477, 799], [478, 799], [456, 804], [456, 805], [464, 795], [464, 795], [444, 800], [444, 800], [424, 804], [425, 804], [405, 808], [405, 809], [385, 813], [385, 813], [365, 818], [366, 818], [346, 822], [346, 822], [326, 827], [326, 827], [306, 831], [307, 831], [287, 836], [287, 836], [267, 840], [267, 840], [247, 845], [247, 845], [228, 849], [228, 849], [208, 854], [208, 854], [188, 858], [188, 858], [169, 863], [169, 863], [149, 867], [149, 867], [129, 872], [129, 872], [110, 876], [110, 877], [90, 881], [90, 881], [71, 885], [70, 886], [51, 890], [51, 890], [31, 894], [31, 895], [12, 899], [11, 899], [-8, 904], [-8, 904], [-28, 908], [-27, 908], [-47, 912], [-47, 913], [-67, 917], [-67, 917], [-87, 921], [-86, 922], [-107, 926], [-106, 926], [-126, 931], [-126, 931]]"
11,114,146,Car,darkslategray,"[[908, 705], [869, 716], [820, 728], [820, 728], [795, 734], [796, 734], [771, 740], [771, 741], [746, 747], [746, 747], [721, 753], [721, 754], [696, 760], [697, 760], [671, 766], [672, 766], [647, 773], [647, 773], [622, 779], [622, 779], [597, 786], [597, 786], [572, 792], [573, 792], [548, 798], [548, 798], [523, 805], [523, 805], [498, 811], [498, 811], [473, 817], [474, 818], [449, 824], [449, 824], [424, 830], [424, 831], [399, 837], [399, 837], [374, 843], [374, 843], [349, 850], [350, 850], [325, 856], [325, 856], [300, 863], [300, 863], [275, 869], [275, 869], [251, 875], [250, 875], [226, 882], [226, 882], [201, 888], [201, 888], [176, 894], [176, 895], [152, 901], [151, 901], [127, 907], [127, 908], [102, 914], [102, 914], [77, 920], [77, 920]]"
17,162,164,Car,darkslategray,"[[276, 724], [393, 756]]"
18,,164,Car,darkslategray,"[[24, 762]]"
15,160,192,Car,dimgray,"[[849, 952], [658, 931], [473, 890], [473, 890], [374, 872], [375, 872], [277, 853], [276, 854], [178, 835], [178, 835], [80, 817], [80, 817], [-18, 798], [-17, 798], [-116, 780], [-116, 780], [-214, 761], [-214, 761], [-313, 743], [-312, 743], [-410, 724], [-410, 725], [-509, 706], [-509, 706], [-607, 687], [-607, 688], [-706, 669], [-705, 669], [-804, 651], [-803, 651], [-902, 632], [-902, 633], [-1000, 614], [-1000, 614], [-1099, 595], [-1098, 596], [-1197, 577], [-1196, 577], [-1295, 559], [-1295, 559], [-1393, 540], [-1393, 540], [-1491, 522], [-1491, 522], [-1590, 504], [-1589, 504], [-1688, 485], [-1688, 485], [-1786, 467], [-1786, 467], [-1884, 448], [-1884, 448], [-1983, 430], [-1982, 430], [-2081, 411], [-2081, 412], [-2179, 393], [-2179, 393], [-2277, 374], [-2277, 375], [-2375, 356], [-2375, 356], [-2474, 338], [-2474, 338]]"
12,114,196,Car,darkolivegreen,"[[1086, 618], [1082, 620], [1072, 624], [1073, 624], [1068, 626], [1068, 627], [1064, 628], [1064, 629], [1050, 641], [1050, 641], [1045, 643], [1046, 643], [1044, 644], [1044, 644], [1043, 644], [1044, 644], [1043, 643], [1043, 643], [1039, 646], [1039, 646], [1035, 648], [1035, 648], [1031, 650], [1031, 650], [1027, 653], [1027, 653], [1048, 643], [1048, 643], [1048, 642], [1049, 642], [1047, 643], [1048, 643], [1046, 644], [1046, 644], [1044, 645], [1045, 645], [1043, 646], [1043, 646], [1049, 642], [1049, 642], [1048, 643], [1049, 643], [1048, 644], [1048, 644], [1047, 644], [1047, 644], [1046, 645], [1046, 645], [1045, 645], [1046, 645], [1045, 646], [1045, 646], [1044, 647], [1044, 647], [1043, 647], [1043, 647], [1042, 648], [1043, 648], [1042, 648], [1042, 648], [1041, 649], [1041, 649], [1040, 649], [1040, 650], [1039, 650], [1040, 650], [1039, 651], [1039, 651], [1038, 651], [1038, 651], [1037, 652], [1038, 652], [1036, 652], [1037, 653], [1036, 653], [1036, 653], [1035, 654], [1035, 654], [1056, 641], [1056, 641], [1051, 641], [1051, 642], [1050, 641], [1050, 642], [1049, 642], [1050, 642], [1049, 642], [1049, 642], [1049, 642], [1049, 642], [1049, 642], [1049, 642], [1053, 641], [1054, 642], [1051, 642], [1051, 642], [1051, 642], [1051, 642], [1050, 641], [1051, 642], [1056, 641], [1056, 641], [1057, 641], [1057, 641], [1057, 641], [1058, 641], [1058, 641], [1058, 641], [1058, 641], [1059, 641], [1059, 641], [1059, 641], [1059, 641], [1060, 641], [1060, 640], [1060, 641], [1061, 640], [1061, 641], [1061, 640], [1061, 640], [1061, 640], [1062, 640], [1062, 640], [1062, 640], [1062, 640], [1063, 640], [1063, 640], [1063, 640], [1064, 640], [1064, 640], [1064, 640], [1064, 640], [1065, 640], [1065, 640], [1065, 639], [1065, 640], [1066, 639], [1066, 640], [1066, 639], [1066, 640], [1067, 639], [1067, 640], [1067, 639], [1068, 640], [1068, 639], [1068, 639], [1068, 639], [1069, 639], [1069, 639], [1069, 639], [1069, 639], [1070, 639], [1070, 639], [1070, 639], [1071, 639], [1071, 639], [1071, 639], [1071, 639], [1071, 639], [1072, 639], [1072, 639], [1072, 639]]"
20,168,200,Car,darkslategray,"[[1002, 924], [976, 910], [899, 869], [899, 870], [862, 850], [862, 850], [826, 831], [826, 831], [789, 812], [789, 812], [753, 793], [753, 793], [716, 774], [716, 774], [679, 755], [680, 755], [643, 736], [643, 736], [607, 717], [607, 717], [570, 698], [570, 698], [534, 679], [534, 679], [497, 659], [497, 660], [460, 640], [461, 640], [424, 621], [424, 621], [387, 602], [388, 602], [351, 583], [351, 583], [314, 564], [315, 564], [278, 545], [278, 545], [242, 526], [242, 526], [205, 507], [205, 507], [168, 488], [169, 488], [132, 468], [132, 469], [96, 449], [95, 450], [59, 430], [59, 430], [23, 411], [22, 411], [-14, 392], [-13, 392], [-51, 373], [-50, 373], [-87, 354], [-86, 354], [-123, 335], [-123, 335], [-160, 316], [-159, 316], [-196, 297], [-196, 297]]"
25,,240,Car,darkslategray,"[[1441, 1106]]"
27,,248,Boat,darkslategray,"[[1554, 778]]"
